movie_id,title,release_year,genre,budget,revenue,runtime,imdb_rating,metascore,votes,director,main_actor,oscar_nominations,oscar_wins
37,Movie 37,1992,Horror,89.96,78.17,141,7.3,62.0,85.6,Patty Jenkins,Leonardo DiCaprio,3,1
38,Movie 38,2012,Action,30.01,100.53,122,5.7,82.0,38.7,Christopher Nolan,Ryan Gosling,2,1
39,Movie 39,1982,Animation,22.2,146.0,83,7.7,54.0,134.1,Greta Gerwig,Scarlett Johansson,2,1
40,Movie 40,1999,Drama,6.28,33.54,116,7.7,,110.9,Patty Jenkins,Margot Robbie,2,1
41,Movie 41,2012,Comedy,22.26,215.25,104,7.9,81.0,52.8,Alfonso Cuarón,Ryan Gosling,2,0
42,Movie 42,1984,Horror,96.03,396.76,112,4.9,,162.2,Alfonso Cuarón,Jennifer Lawrence,0,0
43,Movie 43,2019,Horror,6.17,50.08,128,5.8,60.0,320.1,Patty Jenkins,Ryan Gosling,1,0
44,Movie 44,1984,Comedy,14.78,290.19,154,6.1,80.0,365.5,Denis Villeneuve,Tom Cruise,3,3
45,Movie 45,1994,Sci-Fi,54.46,164.27,125,4.3,54.0,129.5,Patty Jenkins,Ryan Gosling,0,0
46,Movie 46,1984,Action,20.59,184.67,131,7.1,52.0,339.2,Patty Jenkins,Natalie Portman,0,0
47,Movie 47,2022,Horror,4.77,30.05,65,8.5,96.0,69.5,Martin Scorsese,Ryan Gosling,3,1
48,Movie 48,2006,Action,10.1,47.74,106,5.7,55.0,28.8,Martin Scorsese,Brad Pitt,0,0
49,Movie 49,2005,Animation,8.19,12.07,118,6.0,62.0,93.6,Alfonso Cuarón,Margot Robbie,1,0
50,Movie 50,2001,Thriller,49.0,94.22,164,6.8,72.0,38.0,Ridley Scott,Jennifer Lawrence,0,0
51,Movie 51,2002,Sci-Fi,350.0,2544.36,116,5.5,45.0,18.8,Christopher Nolan,Chris Evans,0,0
52,Movie 52,1989,Thriller,71.57,277.82,121,5.6,29.0,58.5,Greta Gerwig,Natalie Portman,0,0
53,Movie 53,2020,Sci-Fi,11.17,37.01,179,7.5,91.0,21.3,Christopher Nolan,Scarlett Johansson,2,0
54,Movie 54,2013,Thriller,24.29,25.62,132,6.3,60.0,7.3,Greta Gerwig,Natalie Portman,0,0
55,Movie 55,2009,Thriller,14.39,26.1,121,5.7,54.0,33.2,Denis Villeneuve,Scarlett Johansson,0,0
56,Movie 56,2007,Romance,24.34,110.84,140,7.1,60.0,181.7,Greta Gerwig,Margot Robbie,4,3
57,Movie 57,1999,Action,16.24,43.49,81,7.3,65.0,94.8,Greta Gerwig,Tom Cruise,1,0
58,Movie 58,1989,Comedy,148.01,1970.62,135,5.5,83.0,46.3,Patty Jenkins,Tom Cruise,0,0
59,Movie 59,2014,Horror,41.24,118.78,129,5.9,64.0,511.9,Alfonso Cuarón,Tom Cruise,1,0
60,Movie 60,2008,Drama,33.24,82.73,107,6.7,70.0,882.7,Denis Villeneuve,Chris Evans,0,0
61,Movie 61,1983,Drama,51.33,51.58,107,9.0,62.0,435.2,Ridley Scott,Tom Cruise,7,2
62,Movie 62,1982,Horror,6.48,47.94,128,6.1,55.0,140.4,James Cameron,Natalie Portman,1,1
63,Movie 63,2012,Sci-Fi,58.74,322.99,111,6.1,34.0,189.3,Quentin Tarantino,Chris Evans,2,0
64,Movie 64,2003,Animation,25.78,494.54,94,9.5,100.0,159.0,Quentin Tarantino,Margot Robbie,2,1
65,Movie 65,2006,Animation,9.46,21.94,124,7.7,100.0,103.8,Christopher Nolan,Scarlett Johansson,3,1
66,Movie 66,2019,Romance,121.99,612.25,125,6.9,88.0,51.3,Patty Jenkins,Ryan Gosling,1,0
67,Movie 67,2019,Romance,18.24,43.57,109,6.1,,20.2,Patty Jenkins,Ryan Gosling,1,0
68,Movie 68,1988,Comedy,11.98,63.16,131,7.8,77.0,218.8,Ridley Scott,Emma Stone,1,1
69,Movie 69,2006,Thriller,18.13,193.66,113,5.0,17.0,84.8,Patty Jenkins,Natalie Portman,0,0
70,Movie 70,2003,Comedy,62.49,127.25,97,5.8,57.0,144.4,Ridley Scott,Ryan Gosling,0,0
71,Movie 71,1999,Comedy,11.95,35.36,120,6.7,69.0,76.8,James Cameron,Margot Robbie,1,1
72,Movie 72,2011,Animation,186.95,415.43,147,6.5,94.0,768.7,James Cameron,Natalie Portman,1,1
73,Movie 73,2009,Animation,8.5,32.55,127,6.6,61.0,83.4,Steven Spielberg,Natalie Portman,2,1
74,Movie 74,2007,Comedy,73.7,53.41,100,5.9,70.0,108.8,Denis Villeneuve,Emma Stone,1,0
75,Movie 75,2007,Sci-Fi,17.89,50.6,140,5.6,48.0,32.1,Ridley Scott,Brad Pitt,2,1
76,Movie 76,1997,Romance,32.9,45.5,143,6.3,44.0,175.3,Martin Scorsese,Scarlett Johansson,2,0
77,Movie 77,1984,Romance,71.29,148.07,143,6.1,56.0,119.5,Quentin Tarantino,Jennifer Lawrence,0,0
78,Movie 78,2009,Romance,58.83,191.13,111,7.8,100.0,188.6,Quentin Tarantino,Ryan Gosling,0,0
79,Movie 79,2018,Animation,42.76,61.28,93,6.7,65.0,42.6,Alfonso Cuarón,Margot Robbie,5,2
80,Movie 80,2017,Sci-Fi,16.08,77.22,160,8.1,73.0,92.6,Alfonso Cuarón,Natalie Portman,3,1
81,Movie 81,2022,Horror,20.04,154.9,125,6.9,72.0,13.6,Christopher Nolan,Tom Cruise,4,1
82,Movie 82,1998,Horror,14.61,52.84,184,6.4,63.0,631.4,Martin Scorsese,Tom Cruise,2,0
83,Movie 83,2022,Horror,10.48,174.48,144,5.9,,192.1,Martin Scorsese,Scarlett Johansson,3,0
84,Movie 84,2016,Romance,51.96,237.93,118,4.8,53.0,113.1,Alfonso Cuarón,Jennifer Lawrence,0,0
85,Movie 85,2002,Comedy,7.96,163.74,101,6.1,77.0,60.6,Patty Jenkins,Scarlett Johansson,1,0
86,Movie 86,2010,Drama,25.17,85.31,143,6.6,60.0,64.1,Martin Scorsese,Natalie Portman,0,0
87,Movie 87,2013,Romance,26.36,177.86,67,5.2,76.0,153.5,Ridley Scott,Natalie Portman,0,0
88,Movie 88,1992,Romance,53.57,216.83,86,7.1,79.0,94.8,Ridley Scott,Chris Evans,0,0
89,Movie 89,2014,Thriller,24.0,54.03,79,7.1,91.0,108.3,Martin Scorsese,Brad Pitt,1,0
90,Movie 90,1982,Sci-Fi,4.59,12.37,131,7.2,60.0,66.5,Martin Scorsese,Leonardo DiCaprio,3,0
91,Movie 91,2016,Drama,59.49,170.05,118,7.8,92.0,535.5,Patty Jenkins,Natalie Portman,3,2
92,Movie 92,1989,Romance,21.86,51.1,131,7.0,49.0,109.4,Christopher Nolan,Natalie Portman,2,1
93,Movie 93,2014,Drama,50.22,347.33,128,6.7,85.0,649.0,Martin Scorsese,Emma Stone,1,0
94,Movie 94,2013,Drama,3.25,5.84,115,5.3,,73.2,Martin Scorsese,Scarlett Johansson,0,0
95,Movie 95,2004,Sci-Fi,11.41,40.76,76,5.2,41.0,89.2,Patty Jenkins,Brad Pitt,0,0
96,Movie 96,1992,Action,55.52,189.02,166,7.3,67.0,31.6,Christopher Nolan,Chris Evans,5,1
97,Movie 97,2004,Horror,10.64,53.55,146,6.4,66.0,76.1,Martin Scorsese,Tom Cruise,0,0
98,Movie 98,1997,Drama,35.75,157.07,114,7.1,,972.2,Greta Gerwig,Natalie Portman,3,0
99,Movie 99,2014,Sci-Fi,17.26,35.83,118,6.2,55.0,154.6,Quentin Tarantino,Tom Cruise,2,1
100,Movie 100,2015,Thriller,20.74,51.88,110,6.7,71.0,50.5,Ridley Scott,Tom Cruise,2,0
101,Movie 101,1986,Sci-Fi,68.23,164.53,117,5.3,68.0,101.3,James Cameron,Leonardo DiCaprio,1,1
102,Movie 102,1990,Thriller,67.33,559.5,114,5.4,,42.1,Denis Villeneuve,Chris Evans,1,0
103,Movie 103,1982,Horror,8.98,13.13,143,7.4,59.0,106.7,Greta Gerwig,Margot Robbie,3,1
104,Movie 104,2004,Drama,33.4,152.65,134,7.5,77.0,196.4,James Cameron,Margot Robbie,2,0
105,Movie 105,1994,Horror,9.7,31.11,129,5.7,48.0,88.6,James Cameron,Tom Cruise,0,0
106,Movie 106,1981,Romance,13.86,92.38,113,6.5,,52.2,Quentin Tarantino,Margot Robbie,0,0
107,Movie 107,2011,Animation,73.23,408.75,143,7.7,76.0,59.1,Patty Jenkins,Emma Stone,1,0
108,Movie 108,2007,Animation,39.35,454.65,98,6.9,56.0,66.1,Steven Spielberg,Jennifer Lawrence,1,0
109,Movie 109,2018,Sci-Fi,43.33,72.51,128,6.6,,412.2,Alfonso Cuarón,Jennifer Lawrence,0,0
110,Movie 110,2010,Drama,125.31,534.5,129,7.8,93.0,111.9,Alfonso Cuarón,Natalie Portman,3,2
111,Movie 111,2005,Drama,14.56,47.53,114,5.9,40.0,287.1,Alfonso Cuarón,Scarlett Johansson,2,1
112,Movie 112,2015,Sci-Fi,41.02,177.11,105,6.4,,336.4,Patty Jenkins,Ryan Gosling,0,0
113,Movie 113,2020,Romance,11.48,37.77,85,6.0,73.0,66.5,Christopher Nolan,Natalie Portman,1,1
114,Movie 114,2016,Comedy,8.14,9.7,125,7.5,84.0,109.6,Christopher Nolan,Scarlett Johansson,5,1
115,Movie 115,1991,Drama,13.39,8.98,107,7.7,68.0,77.0,Quentin Tarantino,Scarlett Johansson,4,1
116,Movie 116,2020,Sci-Fi,40.01,102.49,139,3.7,32.0,26.3,Quentin Tarantino,Jennifer Lawrence,0,0
117,Movie 117,2007,Animation,50.73,70.42,147,6.2,43.0,66.7,Martin Scorsese,Ryan Gosling,0,0
118,Movie 118,1982,Comedy,4.36,9.14,168,5.9,66.0,102.2,Christopher Nolan,Jennifer Lawrence,0,0
119,Movie 119,1999,Drama,86.84,93.71,132,4.9,62.0,75.4,Greta Gerwig,Scarlett Johansson,0,0
120,Movie 120,1985,Romance,19.43,56.23,118,6.5,73.0,82.4,Denis Villeneuve,Tom Cruise,2,0
121,Movie 121,1984,Romance,29.13,51.71,97,8.1,81.0,139.8,Patty Jenkins,Jennifer Lawrence,2,0
122,Movie 122,2022,Action,160.7,483.87,147,5.5,47.0,739.1,Denis Villeneuve,Margot Robbie,0,0
123,Movie 123,1984,Romance,22.36,72.87,136,6.0,62.0,205.8,Patty Jenkins,Chris Evans,2,1
124,Movie 124,2010,Drama,9.2,95.69,100,7.4,86.0,68.2,Patty Jenkins,Leonardo DiCaprio,2,2
125,Movie 125,1988,Comedy,19.38,45.1,127,5.7,52.0,206.1,Patty Jenkins,Chris Evans,2,2
126,Movie 126,1990,Comedy,6.54,11.57,86,7.7,51.0,629.6,Patty Jenkins,Ryan Gosling,4,2
127,Movie 127,2017,Romance,28.58,58.13,147,8.0,,16.7,Martin Scorsese,Margot Robbie,4,0
128,Movie 128,2013,Sci-Fi,5.65,21.16,60,6.0,56.0,360.7,Denis Villeneuve,Ryan Gosling,2,1
129,Movie 129,1995,Romance,48.57,196.34,122,6.4,54.0,66.1,James Cameron,Chris Evans,0,0
130,Movie 130,1983,Thriller,11.21,18.68,144,5.9,47.0,253.4,Steven Spielberg,Ryan Gosling,1,0
131,Movie 131,1983,Drama,26.64,221.93,106,7.6,66.0,76.3,Quentin Tarantino,Tom Cruise,2,2
132,Movie 132,1980,Drama,37.69,25.42,126,9.4,100.0,33.0,Martin Scorsese,Tom Cruise,7,2
133,Movie 133,2015,Drama,126.17,234.6,125,6.3,70.0,141.9,Denis Villeneuve,Jennifer Lawrence,1,0
134,Movie 134,2000,Thriller,73.86,763.95,81,6.8,72.0,38.5,Alfonso Cuarón,Ryan Gosling,2,2
135,Movie 135,1982,Horror,4.57,3.81,146,6.0,51.0,233.9,Christopher Nolan,Brad Pitt,1,1
136,Movie 136,2016,Comedy,9.11,18.38,105,6.3,65.0,16.3,Quentin Tarantino,Chris Evans,1,1
137,Movie 137,2017,Action,112.24,685.45,113,5.0,,20.9,Christopher Nolan,Jennifer Lawrence,0,0
138,Movie 138,2014,Action,19.41,215.8,122,5.8,60.0,19.0,Denis Villeneuve,Margot Robbie,1,1
139,Movie 139,2009,Thriller,102.01,273.25,152,5.3,39.0,63.6,Patty Jenkins,Ryan Gosling,1,0
140,Movie 140,1984,Horror,53.45,302.98,139,5.3,58.0,130.2,Patty Jenkins,Ryan Gosling,0,0
141,Movie 141,1995,Action,8.05,27.2,102,5.3,53.0,15.3,Martin Scorsese,Brad Pitt,0,0
142,Movie 142,1982,Animation,9.09,6.69,129,9.4,100.0,65.4,Ridley Scott,Jennifer Lawrence,6,3
143,Movie 143,2009,Romance,13.03,58.62,134,6.0,,49.5,James Cameron,Ryan Gosling,0,0
144,Movie 144,1993,Animation,25.67,96.05,114,7.1,58.0,64.3,Denis Villeneuve,Leonardo DiCaprio,5,2
145,Movie 145,2013,Thriller,38.74,133.59,74,5.9,,174.2,Ridley Scott,Ryan Gosling,1,0
146,Movie 146,1981,Comedy,10.28,45.7,102,6.4,,64.5,Christopher Nolan,Jennifer Lawrence,1,1
147,Movie 147,1995,Horror,57.03,549.2,88,7.1,82.0,143.7,Patty Jenkins,Ryan Gosling,1,0
148,Movie 148,2016,Thriller,21.85,145.02,107,5.3,63.0,208.2,Christopher Nolan,Jennifer Lawrence,0,0
149,Movie 149,1981,Animation,19.9,31.76,129,8.3,68.0,158.2,Christopher Nolan,Ryan Gosling,3,2
150,Movie 150,2016,Action,24.2,120.51,122,5.5,54.0,32.2,Alfonso Cuarón,Margot Robbie,0,0
151,Movie 151,1983,Action,17.28,84.52,147,7.0,75.0,108.1,Quentin Tarantino,Brad Pitt,4,0
152,Movie 152,1981,Romance,5.82,14.53,117,7.4,,42.7,Patty Jenkins,Natalie Portman,5,2
153,Movie 153,1980,Animation,14.24,44.84,147,7.5,65.0,7.4,Steven Spielberg,Jennifer Lawrence,1,0
154,Movie 154,2015,Animation,72.27,151.49,93,7.4,64.0,236.9,Ridley Scott,Brad Pitt,1,1
155,Movie 155,2017,Drama,25.2,46.21,124,7.3,,79.1,Christopher Nolan,Chris Evans,3,0
156,Movie 156,2004,Horror,14.51,49.5,156,8.3,75.0,22.0,James Cameron,Leonardo DiCaprio,4,3
157,Movie 157,1993,Action,156.11,239.45,114,6.2,59.0,122.8,Steven Spielberg,Natalie Portman,2,1
158,Movie 158,1992,Romance,34.3,348.85,148,5.7,50.0,127.2,Steven Spielberg,Brad Pitt,0,0
159,Movie 159,2000,Horror,50.98,253.65,120,5.0,77.0,293.8,James Cameron,Leonardo DiCaprio,0,0
160,Movie 160,1982,Drama,40.81,39.5,138,7.5,72.0,35.3,Christopher Nolan,Brad Pitt,2,1
161,Movie 161,2021,Action,7.66,54.08,138,7.1,73.0,116.8,Denis Villeneuve,Emma Stone,3,1
162,Movie 162,1991,Action,12.1,63.27,116,6.9,59.0,9.0,Ridley Scott,Margot Robbie,1,0
163,Movie 163,1999,Action,13.33,70.85,129,5.6,,24.6,Alfonso Cuarón,Margot Robbie,0,0
164,Movie 164,1996,Horror,14.93,297.1,105,6.7,79.0,172.7,Steven Spielberg,Brad Pitt,2,1
165,Movie 165,2010,Sci-Fi,10.04,43.69,146,7.3,77.0,47.6,Christopher Nolan,Natalie Portman,3,1
166,Movie 166,2012,Sci-Fi,22.77,69.43,157,7.1,66.0,298.2,Ridley Scott,Ryan Gosling,6,2
167,Movie 167,1988,Action,33.8,116.12,132,5.6,48.0,21.5,Patty Jenkins,Margot Robbie,1,1
168,Movie 168,2016,Thriller,2.13,4.05,123,6.8,69.0,105.7,Alfonso Cuarón,Jennifer Lawrence,1,1
169,Movie 169,2015,Romance,14.27,65.77,95,6.8,56.0,33.7,Denis Villeneuve,Ryan Gosling,3,0
170,Movie 170,2014,Comedy,54.47,111.37,118,6.7,79.0,842.7,Alfonso Cuarón,Natalie Portman,2,0
171,Movie 171,2000,Romance,2.77,17.06,138,6.2,62.0,158.8,Martin Scorsese,Ryan Gosling,0,0
172,Movie 172,1986,Drama,69.67,177.68,133,8.4,87.0,77.9,Christopher Nolan,Chris Evans,4,1
173,Movie 173,1991,Thriller,11.85,31.56,109,6.0,72.0,1685.0,Alfonso Cuarón,Jennifer Lawrence,0,0
174,Movie 174,2013,Horror,61.0,40.93,125,7.9,65.0,184.1,Alfonso Cuarón,Chris Evans,3,0
175,Movie 175,1989,Comedy,2.93,4.79,135,8.6,78.0,37.4,Greta Gerwig,Jennifer Lawrence,2,1
176,Movie 176,1999,Romance,101.95,410.26,128,5.7,58.0,181.8,Martin Scorsese,Tom Cruise,0,0
177,Movie 177,2007,Comedy,23.22,46.06,122,7.4,68.0,318.4,James Cameron,Margot Robbie,1,1
178,Movie 178,1998,Comedy,7.23,19.97,151,5.8,44.0,162.2,Patty Jenkins,Jennifer Lawrence,0,0
179,Movie 179,2019,Thriller,2.05,14.31,89,6.7,,99.3,Denis Villeneuve,Emma Stone,3,1
180,Movie 180,1987,Horror,32.08,181.42,115,5.3,55.0,117.4,Martin Scorsese,Jennifer Lawrence,0,0
181,Movie 181,1995,Drama,24.33,99.88,129,6.5,57.0,122.1,Steven Spielberg,Leonardo DiCaprio,3,0
182,Movie 182,1983,Comedy,41.33,172.38,124,6.1,63.0,383.5,Alfonso Cuarón,Chris Evans,0,0
183,Movie 183,1998,Sci-Fi,31.47,174.43,92,5.7,49.0,547.4,Christopher Nolan,Brad Pitt,2,0
184,Movie 184,2013,Thriller,13.51,10.84,139,7.8,,332.4,Greta Gerwig,Scarlett Johansson,5,1
185,Movie 185,2019,Drama,37.43,61.44,114,6.5,82.0,51.0,Alfonso Cuarón,Leonardo DiCaprio,1,0
186,Movie 186,2015,Comedy,33.63,157.28,135,7.6,89.0,78.9,Steven Spielberg,Margot Robbie,4,1
187,Movie 187,1987,Comedy,19.8,32.33,117,7.9,83.0,41.8,Alfonso Cuarón,Margot Robbie,0,0
188,Movie 188,1982,Romance,47.7,243.64,96,7.6,65.0,99.6,Christopher Nolan,Margot Robbie,3,1
189,Movie 189,2009,Comedy,26.5,58.63,140,5.9,66.0,483.2,Martin Scorsese,Natalie Portman,0,0
190,Movie 190,1983,Animation,8.35,11.36,150,7.0,74.0,416.7,Alfonso Cuarón,Emma Stone,1,0
191,Movie 191,2000,Action,10.65,41.77,144,7.0,87.0,61.1,Martin Scorsese,Scarlett Johansson,3,1
192,Movie 192,2020,Drama,10.09,24.14,155,6.8,57.0,32.3,Martin Scorsese,Scarlett Johansson,2,0
193,Movie 193,2006,Romance,25.51,277.49,104,6.7,64.0,9.3,Alfonso Cuarón,Tom Cruise,1,0
194,Movie 194,2019,Action,2.55,3.06,182,5.8,52.0,211.2,Steven Spielberg,Jennifer Lawrence,2,1
195,Movie 195,2018,Horror,32.7,277.43,73,6.6,62.0,37.5,Christopher Nolan,Leonardo DiCaprio,2,1
196,Movie 196,2018,Sci-Fi,16.57,57.76,112,6.6,72.0,132.0,Quentin Tarantino,Jennifer Lawrence,2,0
197,Movie 197,1991,Action,8.34,56.95,137,6.9,64.0,169.6,James Cameron,Brad Pitt,0,0
198,Movie 198,1983,Romance,11.6,8.2,97,6.2,68.0,74.8,Alfonso Cuarón,Jennifer Lawrence,2,0
199,Movie 199,2008,Horror,9.19,81.97,117,6.5,65.0,39.7,James Cameron,Natalie Portman,5,3
200,Movie 200,2019,Horror,40.56,256.0,60,8.1,74.0,177.7,Patty Jenkins,Leonardo DiCaprio,1,1
201,Movie 201,2004,Animation,52.98,433.13,131,7.7,93.0,68.4,Christopher Nolan,Emma Stone,3,2
202,Movie 202,1982,Comedy,176.22,222.91,111,6.7,66.0,61.5,Christopher Nolan,Ryan Gosling,1,0
203,Movie 203,2003,Horror,9.19,22.89,92,6.3,78.0,417.9,Alfonso Cuarón,Margot Robbie,2,0
204,Movie 204,2022,Action,77.19,180.82,98,6.7,,100.2,Martin Scorsese,Leonardo DiCaprio,4,0
205,Movie 205,2005,Romance,9.13,23.53,74,6.1,69.0,62.4,Greta Gerwig,Jennifer Lawrence,1,1
206,Movie 206,1983,Animation,24.85,92.04,125,6.1,60.0,139.3,Denis Villeneuve,Tom Cruise,0,0
207,Movie 207,1992,Sci-Fi,101.04,399.75,114,7.7,61.0,34.8,Patty Jenkins,Emma Stone,2,0
208,Movie 208,2023,Action,28.61,229.5,127,5.3,60.0,43.8,Alfonso Cuarón,Leonardo DiCaprio,1,1
209,Movie 209,2014,Romance,31.9,198.8,169,7.6,57.0,117.3,Alfonso Cuarón,Leonardo DiCaprio,2,1
210,Movie 210,2006,Sci-Fi,30.83,141.99,147,6.6,69.0,61.7,Christopher Nolan,Jennifer Lawrence,0,0
211,Movie 211,1999,Thriller,15.31,49.53,97,6.5,97.0,257.9,Ridley Scott,Chris Evans,2,1
212,Movie 212,2002,Horror,30.46,18.59,187,6.2,68.0,99.3,Martin Scorsese,Margot Robbie,3,2
213,Movie 213,1988,Thriller,7.06,45.97,100,5.4,64.0,214.4,Quentin Tarantino,Emma Stone,0,0
214,Movie 214,2001,Sci-Fi,67.47,434.84,100,6.9,58.0,42.4,Greta Gerwig,Scarlett Johansson,1,1
215,Movie 215,2009,Sci-Fi,57.85,275.06,138,7.0,78.0,330.5,Martin Scorsese,Natalie Portman,1,1
216,Movie 216,1980,Sci-Fi,33.66,236.37,119,5.6,47.0,76.8,James Cameron,Ryan Gosling,0,0
217,Movie 217,2014,Drama,163.78,941.73,163,7.8,82.0,215.3,Steven Spielberg,Leonardo DiCaprio,0,0
218,Movie 218,1996,Horror,90.88,302.38,115,6.6,54.0,38.9,Steven Spielberg,Ryan Gosling,0,0
219,Movie 219,2018,Action,5.85,11.43,108,5.8,60.0,337.9,Denis Villeneuve,Ryan Gosling,0,0
220,Movie 220,2009,Drama,25.89,104.39,154,5.8,21.0,110.2,Martin Scorsese,Emma Stone,0,0
221,Movie 221,1989,Drama,29.88,244.64,130,9.3,84.0,499.1,James Cameron,Margot Robbie,3,1
222,Movie 222,2010,Action,13.13,32.73,106,6.7,63.0,106.8,Quentin Tarantino,Emma Stone,2,1
223,Movie 223,1987,Comedy,11.33,82.71,113,5.7,69.0,43.4,Steven Spielberg,Emma Stone,0,0
224,Movie 224,1994,Comedy,22.17,115.33,135,6.3,71.0,101.7,Patty Jenkins,Ryan Gosling,1,0
225,Movie 225,2004,Comedy,39.25,73.59,124,6.6,73.0,338.4,Steven Spielberg,Natalie Portman,3,0
226,Movie 226,2021,Sci-Fi,24.46,41.18,144,6.2,58.0,129.0,James Cameron,Ryan Gosling,1,0
227,Movie 227,2016,Horror,32.92,134.88,135,5.4,62.0,27.7,Martin Scorsese,Chris Evans,0,0
228,Movie 228,2013,Comedy,44.95,133.02,129,5.9,88.0,30.2,Steven Spielberg,Natalie Portman,1,1
229,Movie 229,2000,Sci-Fi,11.13,13.74,76,6.6,63.0,30.2,Martin Scorsese,Natalie Portman,1,0
230,Movie 230,2004,Thriller,11.32,86.8,113,6.9,65.0,503.6,Alfonso Cuarón,Brad Pitt,2,0
231,Movie 231,1995,Sci-Fi,27.35,268.27,114,6.7,,494.7,Ridley Scott,Jennifer Lawrence,1,0
232,Movie 232,1991,Action,28.45,97.9,124,6.7,,14.8,James Cameron,Margot Robbie,2,0
233,Movie 233,1994,Thriller,28.66,69.79,123,6.5,75.0,796.1,Denis Villeneuve,Emma Stone,1,1
234,Movie 234,2001,Drama,7.89,17.02,110,6.8,52.0,510.8,Martin Scorsese,Brad Pitt,3,2
